상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,합친데이터,네이버키워드,naver_store_url,store_address,store_score
신정상회,닭/오리요리,오리고기전문,한식 음식점업,괴안동,37.4826181421088,126.808628689307,닭/오리요리오리고기전문한식 음식점업,괴안동%20신정상회,https://m.place.naver.com/restaurant/1089637756,경기 부천시 소삼로 11,4.22
파리바게뜨,제과제빵떡케익,제과점,제과점업,괴안동,37.4793365900098,126.806668282063,제과제빵떡케익제과점제과점업,괴안동%20파리바게뜨,https://m.place.naver.com/restaurant/1523033796,경기 부천시 범안로 26 그린홈프라자 104호,4.38
촌가추어탕,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4741425909136,126.804489782099,한식한식/백반/한정식한식 음식점업,괴안동%20촌가추어탕,https://m.place.naver.com/restaurant/12862831,경기 부천시 소사동로 91-1,4.5
BBQ치킨,유흥주점,호프/맥주,기타 주점업,괴안동,37.4768506939119,126.807657506866,유흥주점호프/맥주기타 주점업,괴안동%20BBQ치킨,https://m.place.naver.com/restaurant/11799018,경기 부천시 범안로 54 그린홈프라자2층비비큐치킨,4.26
복사골포차,유흥주점,호프/맥주,기타 주점업,괴안동,37.4778560356652,126.809959267251,유흥주점호프/맥주기타 주점업,괴안동%20복사골포차,https://m.place.naver.com/restaurant/1518261131,경기 부천시 범안로 54,4.22
경기부천소사지역자활센터음식점,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4832396464344,126.808607513337,한식한식/백반/한정식한식 음식점업,괴안동%20경기부천소사지역자활센터음식점,https://m.place.naver.com/restaurant/1614166319,경기 부천시 소사로 456 원미도서관 지하1층,4.33
까페러브,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,괴안동,37.4768998449134,126.808063737474,커피점/카페커피전문점/카페/다방비알콜 음료점업,괴안동%20까페러브,https://m.place.naver.com/restaurant/35623918,경기 부천시 양지로 20,null
바지락칼국수수제비,분식,국수/만두/칼국수,분식 및 김밥 전문점,괴안동,37.4806208311215,126.8044657156,분식국수/만두/칼국수분식 및 김밥 전문점,괴안동%20바지락칼국수수제비,https://m.place.naver.com/restaurant/1111814208,경기 부천시 경인옛로 123-1,4.45
두리마루,닭/오리요리,오리고기전문,한식 음식점업,괴안동,37.4797912893536,126.803517896653,닭/오리요리오리고기전문한식 음식점업,괴안동%20두리마루,https://m.place.naver.com/restaurant/30982361,경기 부천시 범안로22번길 56,null
피자마루,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동,37.48252029162,126.806968154685,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동%20피자마루,https://m.place.naver.com/restaurant/33409604,경기 부천시 부광로8번길 39,4.33
페리카나,닭/오리요리,후라이드/양념치킨,치킨 전문점,괴안동,37.4816253996941,126.804901972293,닭/오리요리후라이드/양념치킨치킨 전문점,괴안동%20페리카나,https://m.place.naver.com/restaurant/37687043,경기 부천시 부광로8번길 39,4.48
뚜레쥬르,제과제빵떡케익,제과점,제과점업,괴안동,37.4789701909079,126.806968069891,제과제빵떡케익제과점제과점업,괴안동%20뚜레쥬르,https://m.place.naver.com/restaurant/1178871038,경기 부천시 경인로 517,4.33
참치#,일식/수산물,참치전문점,일식 음식점업,괴안동,37.4789102098448,126.807274290373,일식/수산물참치전문점일식 음식점업,괴안동%20참치#,https://m.place.naver.com/restaurant/1541353164,경기 부천시 범안로 55 홈타운프라자 1층 114호,4.43
이모네족발,한식,족발/보쌈전문,한식 음식점업,괴안동,37.4769512551669,126.802455203617,한식족발/보쌈전문한식 음식점업,괴안동%20이모네족발,https://m.place.naver.com/restaurant/20655657,경기 부천시 소사로159번길 17,4.37
낙원떡방앗간,제과제빵떡케익,제과점,제과점업,괴안동,37.4792911877491,126.805741892816,제과제빵떡케익제과점제과점업,괴안동%20낙원떡방앗간,https://m.place.naver.com/restaurant/19353155,경기 부천시 경인옛로118번길 33 1층 상가,4.22
맛나김밥,분식,라면김밥분식,분식 및 김밥 전문점,괴안동,37.4797945465785,126.805620818273,분식라면김밥분식분식 및 김밥 전문점,괴안동%20맛나김밥,https://m.place.naver.com/restaurant/1325074976,경기 부천시 경인옛로118번길 27,4.2
처갓집양념치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,괴안동,37.4790292662784,126.807464603303,닭/오리요리후라이드/양념치킨치킨 전문점,괴안동%20처갓집양념치킨,https://m.place.naver.com/restaurant/31629654,경기 부천시 안곡로 46,4.32
"괴안,범박굽네치킨",닭/오리요리,후라이드/양념치킨,치킨 전문점,괴안동,37.4754378777422,126.806945086429,닭/오리요리후라이드/양념치킨치킨 전문점,"괴안동%20괴안,범박굽네치킨",https://m.place.naver.com/restaurant/13146391,경기 부천시 소사동로 117,4.34
멕시카나,닭/오리요리,후라이드/양념치킨,치킨 전문점,괴안동,37.4807917974614,126.80533358892,닭/오리요리후라이드/양념치킨치킨 전문점,괴안동%20멕시카나,https://m.place.naver.com/restaurant/11693221,경기 부천시 부광로 30,4.46
싱싱수산,일식/수산물,음식점-일식,일식 음식점업,괴안동,37.4797945465785,126.805620818273,일식/수산물음식점-일식일식 음식점업,괴안동%20싱싱수산,https://m.place.naver.com/restaurant/1445226341,경기 부천시 안곡로30번길 7,4.18
피자스쿨,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동,37.4744025614773,126.803468146227,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동%20피자스쿨,https://m.place.naver.com/restaurant/31627897,경기 부천시 은성로 115,4.4
제일감자탕,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4827867997768,126.809270496769,한식한식/백반/한정식한식 음식점업,괴안동%20제일감자탕,https://m.place.naver.com/restaurant/1968827008,경기 부천시 경인로497번길 13,4.57
이모네족발,한식,족발/보쌈전문,한식 음식점업,괴안동,37.4768506939119,126.807657506866,한식족발/보쌈전문한식 음식점업,괴안동%20이모네족발,https://m.place.naver.com/restaurant/20655657,경기 부천시 소사로159번길 17,4.37
돈앤밥스,양식,돈가스전문점,서양식 음식점업,괴안동,37.4745096386535,126.80336468946,양식돈가스전문점서양식 음식점업,괴안동%20돈앤밥스,https://m.place.naver.com/restaurant/1668396166,경기 부천시 은성로 113-1,4.45
윤피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동,37.4768506939119,126.807657506866,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동%20윤피자,https://m.place.naver.com/restaurant/586335983,경기 부천시 범안로 60 104호,4.5
커피에반하다,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,괴안동,37.480460866444,126.80557629261,커피점/카페커피전문점/카페/다방비알콜 음료점업,괴안동%20커피에반하다,https://m.place.naver.com/restaurant/37107747,경기 부천시 경인로 512,4.34
한마당식당,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4793493105138,126.804361606118,한식한식/백반/한정식한식 음식점업,괴안동%20한마당식당,https://m.place.naver.com/restaurant/1137693195,경기 부천시 범안로8번길 19,4.73
영구스피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동,37.4768998449134,126.808063737474,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동%20영구스피자,https://m.place.naver.com/restaurant/38345043,경기 부천시 범안로 55 홈타운프라자 104호 영구스피자,4.4
바지락손칼국수,분식,라면김밥분식,분식 및 김밥 전문점,괴안동,37.4780752288297,126.807570213546,분식라면김밥분식분식 및 김밥 전문점,괴안동%20바지락손칼국수,https://m.place.naver.com/restaurant/37592268,경기 부천시 소사동로 119,4.21
신정상회,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4828031084757,126.809100636418,한식한식/백반/한정식한식 음식점업,괴안동%20신정상회,https://m.place.naver.com/restaurant/1089637756,경기 부천시 소삼로 11,4.22
네네치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,괴안동,37.4742071404344,126.804635724932,닭/오리요리후라이드/양념치킨치킨 전문점,괴안동%20네네치킨,https://m.place.naver.com/restaurant/11779297,경기 부천시 소사동로 93,4.39
맛나,분식,라면김밥분식,분식 및 김밥 전문점,괴안동,37.4806208311215,126.8044657156,분식라면김밥분식분식 및 김밥 전문점,괴안동%20맛나,https://m.place.naver.com/restaurant/18914227,경기 부천시 경인옛로108번길 15,null
